resource,resource_type,dependency,dependency_type,Dependency_Notes,Resource_Notes,cluster
hsprod12,Sun_Server,fearless,NFS,Homes,,5000Cluster
hsprod11,Sun_Server,,,,,hsproddb01
hsprod13,Sun_Server,,,,,5000Cluster
hsprod14,Sun_Server,,,,,5000Cluster
hsprod14,Sun_Server,Tapevault,Fiber,,,5000Cluster
hsdevdb01,VCS_Cluster,hsdev2,,,,hsdevdb01
PROD_web_apache01_z,Service_Group,hsprodweb01,Cluster_Service,,,
hsdev1,Sun_Server,Hitachi_EMS_7,Fiber,,,hsdevdb01
hsdev11,Sun_Server,,,,,hsdevdb01
hsproddb01,VCS_Cluster,hsprod4,,,,hsprodddb01
hsprod4,Sun_Server,,,,,hsprodddb01
hsprod5,Sun_Server,,,,,hsprodddb01
hsprod6,Sun_Server,,,,,hsprodddb01
hsprod2,Sun_Server,,,,,hsprodddb01
hsprod1,Sun_Server,,,,,hsprodddb01
hsprod3,Sun_Server,,,,,hsprodddb01
appdev,,hsapp01,,,,
appp,,hsapp1,,,,
azkaban,Sun_Server,bullwinkle,NIS,,,
bullwinkle,Sun_Server,bullwinkle,NIS,,,
dumbledore,Sun_Zone,dumbledore,NIS,,,
fearless,Sun_Server,bullwinkle,NIS,,,
hogwarts,Sun_Server,bullwinkle,NIS,,,
hsbl04,Unbreakable_Server,dumbledore,NIS,,,
hsbl05,Unbreakable_Server,dumbledore,NIS,,,
wayback,Sun_Server,bullwinkle,NIS,,,
azkaban,Sun_Server,fearless,NFS,Homes,,
bullwinkle,Sun_Server,fearless,NFS,Homes,,
dumbledore,,fearless,NFS,Homes,,
fearless,Sun_Server,fearless,NFS,Homes,,
hogwarts,Sun_Server,fearless,NFS,Homes,,
hsbl04,Unbreakable_Server,fearless,NFS,Homes,,
hsbl05,Unbreakable_Server,fearless,NFS,Homes,,
hsdev11,Sun_Server,fearless,NFS,Homes,,
hsprod11,Sun_Server,fearless,NFS,Homes,,
hsprod13,Sun_Server,fearless,NFS,Homes,,
hsprod14,Sun_Server,fearless,NFS,Homes,,
wayback,Sun_Server,fearless,NFS,Homes,,
Hogwarts_Web,Website,hogwarts,Service,,,
RSRT_Tool,Web_Tool,Hogwarts_Web,App,,,
VSIMST,Oracle_Instance,VSIMST_ora,Service,,,
CIST,Oracle_Instance,CIST_ora,Service,,,
SOAMDST,Oracle_Instance,hsdev11,Service,,,
STARP,Oracle_Instance,hsdev11,Service,,,
CISP,Oracle_Instance,CISP_ora,Service,,,
EVIS,Oracle_Instance,EVIS_ora,Service,,,
SOAMDSP,Oracle_Instance,hsprod11,Service,,,
MM,Oracle_Instance,MMP_ora,Service,,,
LIMSP,Oracle_Instance,LIMSPROD_ora,Service,,,
VRSP,Oracle_Instance,VRSP_ora,Service,,,
VSIMSP,Oracle_Instance,VSIMSP_ora,Service,,,
ASIP,Oracle_Instance,ASIP_ora,Service,,,
Op_Manager,Application,voldemort,App,,,
OpenNMS,Application,hsphxvsf0,,,,
hsdev11,,Hitachi_EMS_7,Fiber,,,
hsprod11,,Hitachi_EMS_7,Fiber,,,
hsprod12,,Hitachi_EMS_7,Fiber,,,
hsprod13,,Hitachi_EMS_7,Fiber,,,
